x,y
1,0.000003
2,0.000002
3,0.000002
4,0.000002
5,0.000003
6,0.000003
7,0.000002
8,0.000003
9,0.000005
10,0.000004
11,0.000002
12,0.000005
13,0.000006
14,0.000007
15,0.000005
16,0.000003
17,0.000003
18,0.000004
19,0.000006
20,0.000012
21,0.000007
22,0.000003
23,0.000007
24,0.000011
25,0.000013
26,0.000019
27,0.000021
28,0.000010
29,0.000004
30,0.000004
31,0.000013
32,0.000007
33,0.000024
34,0.000014
35,0.000082
36,0.000015
37,0.000005
38,0.000012
39,0.000007
40,0.000033
41,0.000041
42,0.000016
43,0.000057
44,0.000120
45,0.000020
46,0.000005
47,0.000007
48,0.000030
49,0.000013
50,0.000012
51,0.000023
52,0.000078
53,0.000047
54,0.000088
55,0.000026
56,0.000006
57,0.000020
58,0.000033
59,0.000050
60,0.000071
61,0.000076
62,0.000091
63,0.000099
64,0.000233
65,0.000131
66,0.000035
67,0.000006
68,0.000012
69,0.000013
70,0.000012
71,0.000093
72,0.000019
73,0.000128
74,0.000029
75,0.000051
76,0.000088
77,0.000376
78,0.000045
79,0.000007
80,0.000036
81,0.000077
82,0.000131
83,0.000111
84,0.000136
85,0.000145
86,0.000159
87,0.000416
88,0.000421
89,0.000280
90,0.000464
91,0.000058
92,0.000008
93,0.000023
94,0.000082
95,0.000034
96,0.000233
97,0.000065
98,0.000029
99,0.000098
100,0.000478
101,0.000134
102,0.000587
103,0.000156
104,0.000635
105,0.000070
106,0.000009
107,0.000065
108,0.000024
109,0.000171
110,0.000024
111,0.000049
112,0.000994
113,0.001084
114,0.000068
115,0.000059
116,0.000753
117,0.000155
118,0.001766
119,0.000826
120,0.000085
121,0.000009
122,0.000041
123,0.000185
124,0.000020
125,0.000302
126,0.000087
127,0.000545
128,0.000042
129,0.000767
130,0.000192
131,0.000899
132,0.000080
133,0.002195
134,0.001035
135,0.001130
136,0.000113
137,0.000010
138,0.000121
139,0.000205
140,0.000436
141,0.000375
142,0.000485
143,0.000650
144,0.001680
145,0.001938
146,0.000998
147,0.001052
148,0.001122
149,0.002593
150,0.001193
151,0.002752
152,0.003120
153,0.000132
154,0.000010
155,0.000074
156,0.000050
157,0.000089
158,0.000395
159,0.000036
160,0.000715
161,0.000333
162,0.000057
163,0.000471
164,0.001249
165,0.000101
166,0.001450
167,0.000605
168,0.000317
169,0.001683
170,0.003904
171,0.000146
172,0.000011
173,0.000215
174,0.000439
175,0.000516
176,0.000961
177,0.000641
178,0.000853
179,0.000997
180,0.001217
181,0.001347
182,0.001494
183,0.001596
184,0.001791
185,0.001855
186,0.001949
187,0.002750
188,0.012495
189,0.002197
190,0.000160
191,0.000012
192,0.000141
193,0.000440
194,0.000041
195,0.000046
196,0.000242
197,0.000893
198,0.000068
199,0.003239
200,0.000076
201,0.003960
202,0.000121
203,0.002086
204,0.000721
205,0.000190
206,0.000399
207,0.002764
208,0.000865
209,0.016952
210,0.000183
211,0.000013
212,0.000398
213,0.000107
214,0.001322
215,0.001141
216,0.000129
217,0.000057
218,0.001282
219,0.000264
220,0.001937
221,0.002092
222,0.000324
223,0.002384
224,0.000147
225,0.000477
226,0.006314
227,0.017050
228,0.000566
229,0.003402
230,0.007088
231,0.000208
232,0.000014
233,0.000253
234,0.001015
235,0.000243
236,0.001296
237,0.000295
238,0.007429
239,0.000472
240,0.004468
241,0.000718
242,0.000098
243,0.000791
244,0.006498
245,0.001012
246,0.007131
247,0.001014
248,0.008037
249,0.003562
250,0.008422
251,0.001253
252,0.009117
253,0.000236
254,0.000015
