x,y
1,0.000001
2,0.000001
3,0.000001
4,0.000001
5,0.000001
6,0.000001
7,0.000001
8,0.000001
9,0.000002
10,0.000001
11,0.000001
12,0.000001
13,0.000002
14,0.000003
15,0.000002
16,0.000001
17,0.000001
18,0.000001
19,0.000002
20,0.000004
21,0.000002
22,0.000001
23,0.000002
24,0.000002
25,0.000003
26,0.000004
27,0.000007
28,0.000003
29,0.000001
30,0.000002
31,0.000003
32,0.000002
33,0.000005
34,0.000006
35,0.000030
36,0.000004
37,0.000001
38,0.000002
39,0.000002
40,0.000006
41,0.000009
42,0.000004
43,0.000018
44,0.000056
45,0.000005
46,0.000002
47,0.000002
48,0.000004
49,0.000004
50,0.000003
51,0.000007
52,0.000020
53,0.000018
54,0.000045
55,0.000007
56,0.000002
57,0.000003
58,0.000005
59,0.000008
60,0.000010
61,0.000018
62,0.000021
63,0.000036
64,0.000099
65,0.000074
66,0.000009
67,0.000002
68,0.000003
69,0.000003
70,0.000004
71,0.000012
72,0.000005
73,0.000024
74,0.000010
75,0.000017
76,0.000041
77,0.000209
78,0.000012
79,0.000002
80,0.000004
81,0.000007
82,0.000013
83,0.000013
84,0.000022
85,0.000027
86,0.000044
87,0.000120
88,0.000184
89,0.000358
90,0.000361
91,0.000015
92,0.000002
93,0.000004
94,0.000007
95,0.000007
96,0.000023
97,0.000015
98,0.000008
99,0.000028
100,0.000131
101,0.000048
102,0.000234
103,0.000087
104,0.000476
105,0.000018
106,0.000002
107,0.000006
108,0.000005
109,0.000015
110,0.000007
111,0.000011
112,0.000111
113,0.000212
114,0.000023
115,0.000019
116,0.000253
117,0.000092
118,0.001127
119,0.000785
120,0.000022
121,0.000002
122,0.000005
123,0.000011
124,0.000007
125,0.000025
126,0.000017
127,0.000058
128,0.000011
129,0.000144
130,0.000056
131,0.000266
132,0.000048
133,0.001193
134,0.000817
135,0.001116
136,0.000026
137,0.000002
138,0.000008
139,0.000011
140,0.000025
141,0.000026
142,0.000048
143,0.000061
144,0.000240
145,0.000322
146,0.000246
147,0.000288
148,0.000513
149,0.001299
150,0.000842
151,0.002866
152,0.006826
153,0.000031
154,0.000002
155,0.000007
156,0.000007
157,0.000012
158,0.000026
159,0.000010
160,0.000063
161,0.000057
162,0.000016
163,0.000122
164,0.000297
165,0.000032
166,0.000581
167,0.000390
168,0.000221
169,0.001736
170,0.005049
171,0.000036
172,0.000002
173,0.000011
174,0.000017
175,0.000026
176,0.000048
177,0.000052
178,0.000064
179,0.000121
180,0.000157
181,0.000258
182,0.000303
183,0.000562
184,0.000633
185,0.000976
186,0.001334
187,0.007698
188,0.019324
189,0.005959
190,0.000041
191,0.000003
192,0.000008
193,0.000017
194,0.000010
195,0.000011
196,0.000031
197,0.000065
198,0.000024
199,0.000355
200,0.000021
201,0.000737
202,0.000061
203,0.000665
204,0.000449
205,0.000103
206,0.000315
207,0.004386
208,0.001398
209,0.025327
210,0.000047
211,0.000003
212,0.000016
213,0.000009
214,0.000045
215,0.000047
216,0.000021
217,0.000016
218,0.000131
219,0.000047
220,0.000275
221,0.000310
222,0.000127
223,0.000681
224,0.000050
225,0.000245
226,0.004889
227,0.013646
228,0.000535
229,0.007669
230,0.016840
231,0.000054
232,0.000003
233,0.000012
234,0.000027
235,0.000018
236,0.000049
237,0.000033
238,0.000303
239,0.000067
240,0.000384
241,0.000133
242,0.000027
243,0.000278
244,0.001668
245,0.000490
246,0.003873
247,0.000842
